Price_Lakhs,Area_SqFt,BHK,Property_Type,Furnishing_Status,Locality,Locality_Tier,Seller_Type,Under_Construction,Amenities_Count,Source_Website
368.0,2250.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,True,2,MagicBricks
366.0,3415.0,5.0,Apartment,Furnished,Sarkhej,Tier 3,Dealer,True,0,MagicBricks
365.0,3150.0,4.0,Apartment,Furnished,Bhat,Tier 3,Owner,False,2,MagicBricks
365.0,336.0,4.0,Apartment,Furnished,Sanand,Tier 2,Owner,False,0,MagicBricks
365.0,3285.0,5.0,Apartment,Furnished,Kankaria,Tier 2,Owner,False,1,MagicBricks
360.0,3650.0,4.0,Apartment,Furnished,Sarkhej,Tier 3,Owner,False,0,MagicBricks
360.0,2300.0,4.0,Apartment,Furnished,Ambawadi,Tier 1,Owner,False,0,MagicBricks
359.0,3168.0,4.0,Apartment,Furnished,Science City,Tier 2,Owner,True,3,MagicBricks
359.0,3168.0,4.0,Apartment,Furnished,Science City,Tier 2,Owner,True,3,MagicBricks
359.0,3168.0,4.0,Apartment,Furnished,Science City,Tier 2,Owner,True,3,MagicBricks
354.0,4077.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,True,2,MagicBricks
354.0,4077.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,True,2,MagicBricks
351.0,2907.0,3.0,Independent House,Unfurnished,Bhadaj,Tier 3,Dealer,False,1,99acres
351.0,3700.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,2,MagicBricks
351.0,2907.0,3.0,Independent House,Unfurnished,Bhadaj,Tier 3,Unknown,False,1,99acres
351.0,2907.0,3.0,Independent House,Unfurnished,Bhadaj,Tier 3,Unknown,False,1,99acres
351.0,3514.0,5.0,Apartment,Furnished,Bopal,Tier 1,Dealer,True,2,MagicBricks
350.0,3600.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,0,MagicBricks
350.0,3800.0,4.0,Apartment,Furnished,Prahlad Nagar,Tier 1,Owner,False,2,MagicBricks
350.0,3800.0,4.0,Apartment,Furnished,Prahlad Nagar,Tier 1,Owner,False,2,MagicBricks
350.0,3300.0,5.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,4,MagicBricks
350.0,3400.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,False,2,MagicBricks
350.0,3400.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,False,2,MagicBricks
350.0,3500.0,5.0,Apartment,Furnished,Thaltej,Tier 1,Owner,False,2,MagicBricks
350.0,3300.0,5.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,4,MagicBricks
350.0,1800.0,4.0,Apartment,Furnished,Saijpur Bogha,Tier 3,Owner,False,0,MagicBricks
344.0,2107.0,4.0,Apartment,Furnished,Satellite,Tier 1,Owner,True,3,MagicBricks
344.0,2107.0,4.0,Apartment,Furnished,Satellite,Tier 1,Owner,True,3,MagicBricks
336.0,2166.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,2,MagicBricks
335.0,207.0,4.0,Apartment,Semi-Furnished,Vaishno Devi,Tier 2,Owner,False,0,MagicBricks
330.0,1575.0,4.0,Apartment,Furnished,Motera,Tier 2,Owner,False,3,MagicBricks
325.0,3420.0,4.0,Apartment,Semi-Furnished,Prahlad Nagar,Tier 1,Owner,False,2,MagicBricks
325.0,3420.0,4.0,Apartment,Semi-Furnished,Prahlad Nagar,Tier 1,Owner,False,2,MagicBricks
325.0,2500.0,4.0,Apartment,Furnished,Jodhpur,Tier 2,Owner,False,2,MagicBricks
325.0,2500.0,4.0,Apartment,Furnished,Jodhpur,Tier 2,Owner,False,2,MagicBricks
325.0,2000.0,4.0,Apartment,Furnished,Nikol,Tier 2,Owner,False,0,MagicBricks
325.0,5706.0,4.0,Apartment,Furnished,Shilaj,Tier 2,Owner,True,4,MagicBricks
322.0,3705.0,5.0,Apartment,Furnished,Makarba,Tier 2,Dealer,True,0,MagicBricks
317.0,2458.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,True,4,MagicBricks
317.0,4610.0,5.0,Apartment,Furnished,Bopal,Tier 1,Unknown,False,2,MagicBricks
315.0,2835.0,4.0,Independent House,Furnished,Bhadaj,Tier 3,Unknown,False,1,99acres
315.0,2835.0,4.0,Independent House,Furnished,Bhadaj,Tier 3,Dealer,False,1,99acres
315.0,2835.0,4.0,Independent House,Furnished,Bhadaj,Tier 3,Unknown,False,1,99acres
312.0,3695.0,4.0,Apartment,Furnished,Satellite,Tier 1,Owner,True,2,MagicBricks
311.0,2620.0,4.0,Apartment,Semi-Furnished,Shilaj,Tier 2,Owner,True,3,MagicBricks
311.0,4230.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,0,MagicBricks
311.0,4230.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,0,MagicBricks
311.0,2035.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,1,MagicBricks
310.0,3538.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,False,0,MagicBricks
310.0,3538.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,False,0,MagicBricks
310.0,2871.0,5.0,Apartment,Semi-Furnished,Maninagar,Tier 2,Owner,False,0,MagicBricks
308.0,2256.0,4.0,Apartment,Furnished,Hebatpur,Tier 3,Owner,True,3,MagicBricks
307.0,2534.0,4.0,Apartment,Furnished,Science City,Tier 2,Owner,True,4,MagicBricks
305.0,2583.0,4.0,Independent House,Unfurnished,Vastral,Tier 2,Owner,False,0,99acres
305.0,3591.0,4.0,Apartment,Unfurnished,Gota,Tier 2,Owner,False,1,99acres
305.0,2583.0,4.0,Independent House,Unfurnished,Vastral,Tier 2,Unknown,False,0,99acres
305.0,3591.0,4.0,Apartment,Unfurnished,Gota,Tier 2,Unknown,False,1,99acres
305.0,3591.0,4.0,Apartment,Unfurnished,Gota,Tier 2,Unknown,False,1,99acres
305.0,2583.0,4.0,Independent House,Unfurnished,Vastral,Tier 2,Unknown,False,0,99acres
304.0,2327.0,4.0,Apartment,Furnished,Ambli,Tier 3,Dealer,True,0,MagicBricks
302.0,2772.0,5.0,Apartment,Furnished,Shela,Tier 2,Dealer,True,0,MagicBricks
302.0,3538.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,False,0,MagicBricks
302.0,2772.0,5.0,Apartment,Furnished,Shela,Tier 2,Dealer,True,0,MagicBricks
301.0,2750.0,4.0,Apartment,Furnished,Sola,Tier 2,Owner,False,3,MagicBricks
301.0,2750.0,4.0,Apartment,Furnished,Sola,Tier 2,Owner,False,3,MagicBricks
300.0,350.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,1,MagicBricks
300.0,3538.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,False,0,MagicBricks
300.0,2310.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,False,2,MagicBricks
300.0,3000.0,4.0,Apartment,Semi-Furnished,Motera,Tier 2,Owner,False,0,MagicBricks
300.0,4550.0,4.0,Apartment,Furnished,Hansol,Tier 3,Owner,False,2,MagicBricks
300.0,2835.0,4.0,Apartment,Furnished,Manipur,Tier 3,Owner,False,3,MagicBricks
300.0,3220.0,4.0,Apartment,Semi-Furnished,Sarkhej,Tier 3,Owner,False,0,MagicBricks
300.0,1925.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,False,1,MagicBricks
300.0,2500.0,4.0,Apartment,Semi-Furnished,Thaltej,Tier 1,Owner,False,2,MagicBricks
300.0,2500.0,4.0,Apartment,Semi-Furnished,Thaltej,Tier 1,Owner,False,2,MagicBricks
300.0,2350.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,1,MagicBricks
300.0,2350.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,1,MagicBricks
300.0,2750.0,3.0,Apartment,Unfurnished,Shahibaug,Tier 2,Owner,False,0,99acres
300.0,3250.0,5.0,Apartment,Furnished,Bopal,Tier 1,Owner,True,2,MagicBricks
300.0,2310.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,False,2,MagicBricks
300.0,2750.0,3.0,Apartment,Unfurnished,Shahibaug,Tier 2,Unknown,False,0,99acres
300.0,2000.0,4.0,Apartment,Furnished,New CG Road,Tier 1,Owner,False,3,MagicBricks
300.0,2750.0,3.0,Apartment,Unfurnished,Shahibaug,Tier 2,Unknown,False,0,99acres
300.0,2150.0,6.0,Apartment,Semi-Furnished,Vasna,Tier 2,Owner,False,0,MagicBricks
300.0,4550.0,4.0,Apartment,Furnished,Hansol,Tier 3,Owner,False,2,MagicBricks
298.0,3230.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,2,MagicBricks
297.0,3230.0,4.0,Apartment,Furnished,Ambli,Tier 3,Dealer,True,0,MagicBricks
297.0,3230.0,4.0,Apartment,Furnished,Ambli,Tier 3,Dealer,False,0,MagicBricks
295.0,1850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,MagicBricks
295.0,1850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,MagicBricks
294.0,4608.0,4.0,Apartment,Furnished,Science City,Tier 2,Dealer,True,0,MagicBricks
290.0,2220.0,4.0,Apartment,Semi-Furnished,Sarkhej,Tier 3,Owner,False,3,MagicBricks
290.0,1827.0,4.0,Independent House,Unfurnished,Naroda,Tier 3,Owner,False,0,99acres
290.0,2835.0,4.0,Apartment,Furnished,Nikol,Tier 2,Owner,False,1,MagicBricks
290.0,1827.0,4.0,Independent House,Unfurnished,Naroda,Tier 3,Unknown,False,0,99acres
290.0,2835.0,4.0,Apartment,Furnished,Nikol,Tier 2,Owner,False,1,MagicBricks
290.0,2200.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,True,2,MagicBricks
290.0,1827.0,4.0,Independent House,Unfurnished,Naroda,Tier 3,Unknown,False,0,99acres
288.0,3850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,MagicBricks
288.0,3850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,MagicBricks
288.0,3850.0,4.0,Apartment,Semi-Furnished,Ambli,Tier 3,Owner,False,0,MagicBricks
288.0,3850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,MagicBricks
288.0,3850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,MagicBricks
288.0,4509.0,4.0,Apartment,Furnished,Science City,Tier 2,Dealer,True,0,MagicBricks
288.0,4509.0,4.0,Apartment,Furnished,Science City,Tier 2,Dealer,True,0,MagicBricks
288.0,4509.0,4.0,Apartment,Furnished,Science City,Tier 2,Owner,True,2,MagicBricks
288.0,3850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,MagicBricks
285.0,1332.0,3.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,2,MagicBricks
285.0,1332.0,3.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,2,MagicBricks
285.0,1575.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,3,MagicBricks
285.0,300.0,4.0,Apartment,Furnished,Sarkhej,Tier 3,Owner,False,0,MagicBricks
281.0,4680.0,6.0,Apartment,Semi-Furnished,Maninagar,Tier 2,Owner,False,0,MagicBricks
280.0,2090.0,4.0,Apartment,Furnished,Gota,Tier 2,Owner,True,2,MagicBricks
280.0,2000.0,4.0,Apartment,Furnished,Ghuma,Tier 2,Owner,False,2,MagicBricks
280.0,2825.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,False,2,MagicBricks
280.0,2090.0,4.0,Apartment,Furnished,Gota,Tier 2,Owner,True,2,MagicBricks
280.0,2975.0,4.0,Apartment,Furnished,Motera,Tier 2,Owner,False,3,MagicBricks
