Property_Title,Price,Area_SqFt,BHK,Bathrooms,Furnishing_Status,Property_Type,Seller_Type,Project_Name,Locality,Posted_Date,Floor_Number,Source_Website,Raw_JSON,URL,Description,Price_Lakhs,Area_SqFt_Clean,BHK_Clean,Bathrooms_Clean,Bathrooms_Imputed,Property_Type_Clean,Furnishing_Status_Clean,Extracted_Locality,Locality_Tier,Price_Per_SqFt,Price_Log,Bath_to_BHK_Ratio,Area_Per_Bedroom,Size_Category,Is_Luxury,Is_Villa,Is_Studio,Is_Premium_Location,Furnishing_Score,BHK_Category,Price_Category,Spaciousness_Score,Property_Type_Score,Source_Score,Data_Completeness
"3 BHK Apartment for Sale in Safal Parisar 2, Bopal Ahmedabad","₹
1.50 Cr",1905.0,3.0,2.0,Furnished,,Dealer,,,,,MagicBricks,"""18\n+\nPhotos\nPosted: Nov 19, '25\nAgent: Bhagwati Estate Management\nOperating Since: 2005\n1000+ Buyers Served\n3 BHK Apartment for Sale in Safal Parisar 2, Bopal Ahmedabad\nSafal Parisar 2\nSUPER AREA\n1905 sqft\nSTATUS\nReady to Move\nFLOOR\n10 out of 12\nTRANSACTION\nResale\nFURNISHING\nFurnished\nSOCIETY\nSafal Parisar 2\nBATHROOM\n3\nBALCONY\n1\n\u20b9\n1.50 Cr\n\u20b97,874 per sqft\nContact AgentGet Phone No.""",,"18
+
Photos
Posted: Nov 19, '25
Agent: Bhagwati Estate Management
Operating Since: 2005
1000+ Buyers Served
3 BHK Apartment for Sale in Safal Parisar 2, Bopal Ahmedabad
Safal Parisar 2
SUPER AREA
1905",150.0,1905.0,3.0,2.0,2.0,Apartment,Furnished,Unknown,Tier 3,7874.0157480314965,5.017279836814924,0.6666666666666666,635.0,Very Large,1,0,0,0,3,3BHK,Luxury,1.370503597122302,3,2,1.0
"3 BHK Flat for Sale in Gala Eternia, Thaltej, Ahmedabad","₹
1.50 Cr",1745.0,3.0,3.0,Semi-Furnished,,Owner,,,,,MagicBricks,"""10\n+\nPhotos\nUpdated 3 weeks ago\nOwner: Anant Sharma\n3 BHK Flat for Sale in Gala Eternia, Thaltej, Ahmedabad\nGala Eternia\nSUPER AREA\n1745 sqft\nSTATUS\nReady to Move\nFLOOR\n2 out of 14\nTRANSACTION\nResale\nFURNISHING\nSemi-Furnished\nFACING\nNorth - West\nOVERLOOKING\nMain Road\nSOCIETY\nGala Eternia\nBATHROOM\n3\nBALCONY\n4\n\nClass location on main road 100 mter metro station.::::Multistorey apartment is available for sale. It covered area of 1745 sq-ft, it is a good location property. Please contact for more de""",,"10
+
Photos
Updated 3 weeks ago
Owner: Anant Sharma
3 BHK Flat for Sale in Gala Eternia, Thaltej, Ahmedabad
Gala Eternia
SUPER AREA
1745 sqft
STATUS
Ready to Move
FLOOR
2 out of 14
TRANSACTION
Resale
",150.0,1745.0,3.0,3.0,3.0,Apartment,Semi-Furnished,Unknown,Tier 3,8595.988538681948,5.017279836814924,1.0,581.6666666666666,Very Large,1,0,0,0,2,3BHK,Luxury,1.2553956834532372,3,2,1.0
"3 BHK Flat for Sale in Safal Parisar 2, Bopal, Ahmedabad","₹
1.50 Cr",1905.0,3.0,2.0,Furnished,,Dealer,,,,,MagicBricks,"""18\n+\nPhotos\nPosted: Nov 19, '25\nAgent: Bhagwati Estate Management\nOperating Since: 2005\n1000+ Buyers Served\n3 BHK Flat for Sale in Safal Parisar 2, Bopal, Ahmedabad\nSafal Parisar 2\nSUPER AREA\n1905 sqft\nSTATUS\nReady to Move\nFLOOR\n10 out of 12\nTRANSACTION\nResale\nFURNISHING\nFurnished\nSOCIETY\nSafal Parisar 2\nBATHROOM\n3\nBALCONY\n1\n\u20b9\n1.50 Cr\n\u20b97,874 per sqft\nContact AgentGet Phone No.""",,"18
+
Photos
Posted: Nov 19, '25
Agent: Bhagwati Estate Management
Operating Since: 2005
1000+ Buyers Served
3 BHK Flat for Sale in Safal Parisar 2, Bopal, Ahmedabad
Safal Parisar 2
SUPER AREA
1905 sqf",150.0,1905.0,3.0,2.0,2.0,Apartment,Furnished,Unknown,Tier 3,7874.0157480314965,5.017279836814924,0.6666666666666666,635.0,Very Large,1,0,0,0,3,3BHK,Luxury,1.370503597122302,3,2,1.0
"2 BHK Flat for Sale in Jivraj Park, Ahmedabad","₹
1.50 Cr",1000.0,2.0,2.0,Furnished,,Owner,,,,,MagicBricks,"""2\n+\nPhotos\nUpdated 4 weeks ago\nOwner: Jigarkumar\n2 BHK Flat for Sale in Jivraj Park, Ahmedabad\nCARPET AREA\n1000 sqft\nSTATUS\nReady to Move\nFLOOR\nGround out of 1\nTRANSACTION\nResale\nFURNISHING\nUnfurnished\nBATHROOM\n2\nBALCONY\n1\n\u20b9\n1.50 Cr\nContact OwnerGet Phone No.""",,"2
+
Photos
Updated 4 weeks ago
Owner: Jigarkumar
2 BHK Flat for Sale in Jivraj Park, Ahmedabad
CARPET AREA
1000 sqft
STATUS
Ready to Move
FLOOR
Ground out of 1
TRANSACTION
Resale
FURNISHING
Unfurnishe",150.0,1000.0,2.0,2.0,2.0,Apartment,Furnished,Unknown,Tier 3,15000.0,5.017279836814924,1.0,500.0,Medium,1,0,0,0,3,2BHK,Luxury,1.0621348911311737,3,2,1.0
"4 BHK Flat for Sale in Shivalik Sharda Park View 2, Shela, Ahmedabad","₹
1.50 Cr",1805.0,4.0,4.0,Semi-Furnished,,Owner,,,,,MagicBricks,"""9\n+\nPhotos\nUpdated 3 days ago\nOwner: Nilesh\nPremium Member\n4 BHK Flat for Sale in Shivalik Sharda Park View 2, Shela, Ahmedabad\nShivalik Sharda Park View 2\nCARPET AREA\n1805 sqft\nSTATUS\nReady to Move\nFLOOR\n5 out of 12\nTRANSACTION\nResale\nFURNISHING\nSemi-Furnished\nFACING\nEast\nOVERLOOKING\nGarden/Park, Main Road\nSOCIETY\nShivalik Sharda Park View 2\nOWNERSHIP\nFreehold\nBATHROOM\n4\nBALCONY\n2\nEast Facing Property\n\u20b9\n1.50 Cr\n\u20b94,983 per sqft\nContact OwnerGet Phone No.""",,"9
+
Photos
Updated 3 days ago
Owner: Nilesh
Premium Member
4 BHK Flat for Sale in Shivalik Sharda Park View 2, Shela, Ahmedabad
Shivalik Sharda Park View 2
CARPET AREA
1805 sqft
STATUS
Ready to Move
F",150.0,1805.0,4.0,4.0,4.0,Apartment,Semi-Furnished,Unknown,Tier 3,8310.249307479224,5.017279836814924,1.0,451.25,Very Large,1,0,0,0,2,4+BHK,Luxury,0.8081486456234609,3,2,1.0
3 BHK Apartment for Sale in Shela Ahmedabad,"₹
1.50 Cr",1360.0,3.0,3.0,Furnished,,Owner,,,,2.0,MagicBricks,"""17\n+\nPhotos\nUpdated today\nOwner: Krunal M Patel\nPremium Member\n3 BHK Apartment for Sale in Shela Ahmedabad\nCARPET AREA\n1360 sqft\nSTATUS\nReady to Move\nTRANSACTION\nResale\nFURNISHING\nFurnished\nFACING\nNorth - East\nOVERLOOKING\nGarden/Park, Pool, Main Road\nOWNERSHIP\nFreehold\nCAR PARKING\n1 Covered,\nBATHROOM\n3\nBALCONY\n1\n\nDiscover an elegantly furnished 3 BHK apartment in the highly desirable Science City, Sola area of Ahmedabad, offering a blend of spacious living and excellent connectivity. Located on """,,"17
+
Photos
Updated today
Owner: Krunal M Patel
Premium Member
3 BHK Apartment for Sale in Shela Ahmedabad
CARPET AREA
1360 sqft
STATUS
Ready to Move
TRANSACTION
Resale
FURNISHING
Furnished
FACING
Nor",150.0,1360.0,3.0,3.0,3.0,Apartment,Furnished,Unknown,Tier 3,11029.411764705883,5.017279836814924,1.0,453.3333333333333,Large,1,0,0,0,3,3BHK,Luxury,0.9784172661870503,3,2,1.0
3 BHK Penthouse for Sale in Shilaj Ahmedabad,"₹
1.50 Cr",2310.0,3.0,3.0,Semi-Furnished,,Owner,,,,,MagicBricks,"""18\n+\nPhotos\nUpdated yesterday\nOwner: Sanjay\nPremium Member\n3 BHK Penthouse for Sale in Shilaj Ahmedabad\nCARPET AREA\n2310 sqft\nSTATUS\nReady to Move\nTRANSACTION\nResale\nFURNISHING\nSemi-Furnished\nFACING\nSouth -West\nOVERLOOKING\nGarden/Park, Pool, Main Road\nOWNERSHIP\nCo-operative Society\nCAR PARKING\n1 Covered,\nBATHROOM\n3\nBALCONY\n1\n\nIts a Penthouse with 3 Bedrooms, 3rd Bedroom is 20x20 feet, 1 study and children Bedroom2 stores Separate Sink Wash Area open Terrace Garden\n\nRead more\n\u20b9\n1.50 Cr\n\u20b94,545 per""",,"18
+
Photos
Updated yesterday
Owner: Sanjay
Premium Member
3 BHK Penthouse for Sale in Shilaj Ahmedabad
CARPET AREA
2310 sqft
STATUS
Ready to Move
TRANSACTION
Resale
FURNISHING
Semi-Furnished
FACING
S",150.0,2310.0,3.0,3.0,3.0,Penthouse,Semi-Furnished,Unknown,Tier 3,6493.506493506494,5.017279836814924,1.0,770.0,Very Large,1,0,0,0,2,3BHK,Luxury,1.6618705035971222,7,2,1.0
"3 BHK Flat for Sale in Shela, Ahmedabad","₹
1.50 Cr",1360.0,3.0,3.0,Furnished,,Owner,,,,2.0,MagicBricks,"""17\n+\nPhotos\nUpdated today\nOwner: Krunal M Patel\nPremium Member\n3 BHK Flat for Sale in Shela, Ahmedabad\nCARPET AREA\n1360 sqft\nSTATUS\nReady to Move\nTRANSACTION\nResale\nFURNISHING\nFurnished\nFACING\nNorth - East\nOVERLOOKING\nGarden/Park, Pool, Main Road\nOWNERSHIP\nFreehold\nCAR PARKING\n1 Covered,\nBATHROOM\n3\nBALCONY\n1\n\nDiscover an elegantly furnished 3 BHK apartment in the highly desirable Science City, Sola area of Ahmedabad, offering a blend of spacious living and excellent connectivity. Located on the """,,"17
+
Photos
Updated today
Owner: Krunal M Patel
Premium Member
3 BHK Flat for Sale in Shela, Ahmedabad
CARPET AREA
1360 sqft
STATUS
Ready to Move
TRANSACTION
Resale
FURNISHING
Furnished
FACING
North -",150.0,1360.0,3.0,3.0,3.0,Apartment,Furnished,Unknown,Tier 3,11029.411764705883,5.017279836814924,1.0,453.3333333333333,Large,1,0,0,0,3,3BHK,Luxury,0.9784172661870503,3,2,1.0
"3 BHK Flat for Sale in Shilaj, Ahmedabad","₹
1.50 Cr",2310.0,3.0,3.0,Semi-Furnished,,Owner,,,,,MagicBricks,"""18\n+\nPhotos\nUpdated yesterday\nOwner: Sanjay\nPremium Member\n3 BHK Flat for Sale in Shilaj, Ahmedabad\nCARPET AREA\n2310 sqft\nSTATUS\nReady to Move\nTRANSACTION\nResale\nFURNISHING\nSemi-Furnished\nFACING\nSouth -West\nOVERLOOKING\nGarden/Park, Pool, Main Road\nOWNERSHIP\nCo-operative Society\nCAR PARKING\n1 Covered,\nBATHROOM\n3\nBALCONY\n1\n\nIts a Penthouse with 3 Bedrooms, 3rd Bedroom is 20x20 feet, 1 study and children Bedroom2 stores Separate Sink Wash Area open Terrace Garden\n\nRead more\n\u20b9\n1.50 Cr\n\u20b94,545 per sqf""",,"18
+
Photos
Updated yesterday
Owner: Sanjay
Premium Member
3 BHK Flat for Sale in Shilaj, Ahmedabad
CARPET AREA
2310 sqft
STATUS
Ready to Move
TRANSACTION
Resale
FURNISHING
Semi-Furnished
FACING
South",150.0,2310.0,3.0,3.0,3.0,Apartment,Semi-Furnished,Unknown,Tier 3,6493.506493506494,5.017279836814924,1.0,770.0,Very Large,1,0,0,0,2,3BHK,Luxury,1.6618705035971222,3,2,1.0
"3 BHK Flat for Sale in Shubh Aashish, Paldi, Ahmedabad","₹
1.50 Cr",2200.0,3.0,3.0,Furnished,,Owner,,,,,MagicBricks,"""9\n+\nPhotos\nUpdated 2 weeks ago\nOwner: Yashvi Patwa\n3 BHK Flat for Sale in Shubh Aashish, Paldi, Ahmedabad\nShubh Aashish\nCARPET AREA\n2200 sqft\nSTATUS\nReady to Move\nFLOOR\n5 out of 12\nTRANSACTION\nResale\nFURNISHING\nUnfurnished\nOVERLOOKING\nGarden/Park, Main Road\nSOCIETY\nShubh Aashish\nOWNERSHIP\nCo-operative Society\nBATHROOM\n3\nBALCONY\n2\n\u20b9\n1.50 Cr\n\u20b96,510 per sqft\nContact OwnerGet Phone No.""",,"9
+
Photos
Updated 2 weeks ago
Owner: Yashvi Patwa
3 BHK Flat for Sale in Shubh Aashish, Paldi, Ahmedabad
Shubh Aashish
CARPET AREA
2200 sqft
STATUS
Ready to Move
FLOOR
5 out of 12
TRANSACTION
Resale
",150.0,2200.0,3.0,3.0,3.0,Apartment,Furnished,Unknown,Tier 3,6818.181818181818,5.017279836814924,1.0,733.3333333333334,Very Large,1,0,0,0,3,3BHK,Luxury,1.5827338129496402,3,2,1.0
