Property_Title,Price,Area_SqFt,BHK,Bathrooms,Furnishing_Status,Property_Type,Seller_Type,Project_Name,Locality,Posted_Date,Floor_Number,Source_Website,Raw_JSON,URL,Description
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,1,,,Apartment,Owner,,Type of property,,,99acres,"""Buy\nAhmedabad\n|\nPost property\nFREE\nHome \u203a Property in Ahmedabad\nHide already seen\nVerified properties\nVerified \u00a0 by 99acres verification team\nBudget\nNo min\nNo max\nType of property\nResidential ApartmentIndependent House/VillaResidential LandIndependent/Builder Floor1 RK/ Studio Apartment\n+ 1 more\nNo. of Bedrooms\n1 RK/1 BHK2 BHK3 BHK4 BHK5 BHK\n+ 5 more\nConstruction Status\nNew LaunchUnder ConstructionReady to move\nPosted by\nOwnerBuilderDealerFeature Dealer\nArea\nsq.ft.\nNo min\nNo max\nLocalities\nSG Hi""",https://www.99acres.com,"Buy
Ahmedabad
|
Post property
FREE
Home › Property in Ahmedabad
Hide already seen
Verified properties
Verified   by 99acres verification team
Budget
No min
No max
Type of property
Residential Apartmen"
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,1,,,Apartment,Owner,,Type of property,,,99acres,"""Buy\nAhmedabad\n|\nPost property\nFREE\nHome \u203a Property in Ahmedabad\nHide already seen\nVerified properties\nVerified \u00a0 by 99acres verification team\nBudget\nNo min\nNo max\nType of property\nResidential ApartmentIndependent House/VillaResidential LandIndependent/Builder Floor1 RK/ Studio Apartment\n+ 1 more\nNo. of Bedrooms\n1 RK/1 BHK2 BHK3 BHK4 BHK5 BHK\n+ 5 more\nConstruction Status\nNew LaunchUnder ConstructionReady to move\nPosted by\nOwnerBuilderDealerFeature Dealer\nArea\nsq.ft.\nNo min\nNo max\nLocalities\nSG Hi""",https://www.99acres.com,"Buy
Ahmedabad
|
Post property
FREE
Home › Property in Ahmedabad
Hide already seen
Verified properties
Verified   by 99acres verification team
Budget
No min
No max
Type of property
Residential Apartmen"
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,1,,,Apartment,Owner,,Type of property,,,99acres,"""Buy\nAhmedabad\n|\nPost property\nFREE\nHome \u203a Property in Ahmedabad\nHide already seen\nVerified properties\nVerified \u00a0 by 99acres verification team\nBudget\nNo min\nNo max\nType of property\nResidential ApartmentIndependent House/VillaResidential LandIndependent/Builder Floor1 RK/ Studio Apartment\n+ 1 more\nNo. of Bedrooms\n1 RK/1 BHK2 BHK3 BHK4 BHK5 BHK\n+ 5 more\nConstruction Status\nNew LaunchUnder ConstructionReady to move\nPosted by\nOwnerBuilderDealerFeature Dealer\nArea\nsq.ft.\nNo min\nNo max\nLocalities\nSG Hi""",https://www.99acres.com,"Buy
Ahmedabad
|
Post property
FREE
Home › Property in Ahmedabad
Hide already seen
Verified properties
Verified   by 99acres verification team
Budget
No min
No max
Type of property
Residential Apartmen"
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,1,,,Apartment,Owner,,Type of property,,,99acres,"""Home \u203a Property in Ahmedabad\nHide already seen\nVerified properties\nVerified \u00a0 by 99acres verification team\nBudget\nNo min\nNo max\nType of property\nResidential ApartmentIndependent House/VillaResidential LandIndependent/Builder Floor1 RK/ Studio Apartment\n+ 1 more\nNo. of Bedrooms\n1 RK/1 BHK2 BHK3 BHK4 BHK5 BHK\n+ 5 more\nConstruction Status\nNew LaunchUnder ConstructionReady to move\nPosted by\nOwnerBuilderDealerFeature Dealer\nArea\nsq.ft.\nNo min\nNo max\nLocalities\nSG Highway\n4.3\n\u2605\nSG Highway\n4.2\n\u2605\nBopal\n""",https://www.99acres.com/,"Home › Property in Ahmedabad
Hide already seen
Verified properties
Verified   by 99acres verification team
Budget
No min
No max
Type of property
Residential ApartmentIndependent House/VillaResidential"
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,3,,,Apartment,Owner,,"Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA",,,99acres,"""21839 results | Property in Ahmedabad for Sale\nGet to know more about\nAhmedabad\nView Insights\nNEW LAUNCH\nOwnerVerifiedUnder constructionReady To MoveWith PhotosWith Videos\nSort By\n3 people already contacted yesterday\nSharanya Altura\n3 BHK Flat in Shilaj, Ahmedabad\n\u00b7\nRERA\n\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction\n\nMake Sharanya Altura your next home. Book your 3 BHK flat in Shilaj, Ahmedabad West. With a super built-up area of 1760.0 sq. ft., the flat """,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sharanya-altura-shilaj-ahmedabad-west-1760-sq-ft-npspid-E83089100,"21839 results | Property in Ahmedabad for Sale
Get to know more about
Ahmedabad
View Insights
NEW LAUNCH
OwnerVerifiedUnder constructionReady To MoveWith PhotosWith Videos
Sort By
3 people already con"
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,3,,,Apartment,Builder,,"Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA",,,99acres,"""3 people already contacted yesterday\nSharanya Altura\n3 BHK Flat in Shilaj, Ahmedabad\n\u00b7\nRERA\n\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction\n\nMake Sharanya Altura your next home. Book your 3 BHK flat in Shilaj, Ahmedabad West. With a super built-up area of 1760.0 sq. ft., the flat combines the finest design and amenities in Ahmedabad West to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 3 BHK flat for Rs. 87 Lac. I""",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sharanya-altura-shilaj-ahmedabad-west-1760-sq-ft-npspid-E83089100,"3 people already contacted yesterday
Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA
₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction

Make Sharanya Altura"
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,3,,,Apartment,Builder,,"Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA",,,99acres,"""3 people already contacted yesterday\nSharanya Altura\n3 BHK Flat in Shilaj, Ahmedabad\n\u00b7\nRERA\n\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction\n\nMake Sharanya Altura your next home. Book your 3 BHK flat in Shilaj, Ahmedabad West. With a super built-up area of 1760.0 sq. ft., the flat combines the finest design and amenities in Ahmedabad West to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 3 BHK flat for Rs. 87 Lac. I""",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sharanya-altura-shilaj-ahmedabad-west-1760-sq-ft-npspid-E83089100,"3 people already contacted yesterday
Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA
₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction

Make Sharanya Altura"
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,3,,,Apartment,Builder,,"Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA",,,99acres,"""3 people already contacted yesterday\nSharanya Altura\n3 BHK Flat in Shilaj, Ahmedabad\n\u00b7\nRERA\n\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction\n\nMake Sharanya Altura your next home. Book your 3 BHK flat in Shilaj, Ahmedabad West. With a super built-up area of 1760.0 sq. ft., the flat combines the finest design and amenities in Ahmedabad West to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 3 BHK flat for Rs. 87 Lac. I""",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sharanya-altura-shilaj-ahmedabad-west-1760-sq-ft-npspid-E83089100,"3 people already contacted yesterday
Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA
₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction

Make Sharanya Altura"
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,3,,,Apartment,,,"Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA",,,99acres,"""3 people already contacted yesterday\nSharanya Altura\n3 BHK Flat in Shilaj, Ahmedabad\n\u00b7\nRERA\n\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction\n\nMake Sharanya Altura your next home. Book your 3 BHK flat in Shilaj, Ahmedabad West. With a super built-up area of 1760.0 sq. ft., the flat combines the finest design and amenities in Ahmedabad West to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 3 BHK flat for Rs. 87 Lac. I""",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sharanya-altura-shilaj-ahmedabad-west-1760-sq-ft-npspid-E83089100,"3 people already contacted yesterday
Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA
₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction

Make Sharanya Altura"
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,3,,,Apartment,,,"Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA",,,99acres,"""Sharanya Altura\n3 BHK Flat in Shilaj, Ahmedabad\n\u00b7\nRERA\n\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction\n\nMake Sharanya Altura your next home. Book your 3 BHK flat in Shilaj, Ahmedabad West. With a super built-up area of 1760.0 sq. ft., the flat combines the finest design and amenities in Ahmedabad West to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 3 BHK flat for Rs. 87 Lac. It is an under construction property w""",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sharanya-altura-shilaj-ahmedabad-west-1760-sq-ft-npspid-E83089100,"Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA
₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction

Make Sharanya Altura your next home. Book your 3 BHK flat"
