Property_Title,Price,Area_SqFt,BHK,Bathrooms,Furnishing_Status,Property_Type,Seller_Type,Project_Name,Locality,Posted_Date,Floor_Number,Source_Website,Raw_JSON,URL,Description
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,1.0,,,Apartment,Owner,,Type of property,,,99acres,"""Buy\nAhmedabad\n|\nPost property\nFREE\nHome \u203a Property in Ahmedabad\nHide already seen\nVerified properties\nVerified \u00a0 by 99acres verification team\nBudget\nNo min\nNo max\nType of property\nResidential ApartmentIndependent House/VillaResidential LandIndependent/Builder Floor1 RK/ Studio Apartment\n+ 1 more\nNo. of Bedrooms\n1 RK/1 BHK2 BHK3 BHK4 BHK5 BHK\n+ 5 more\nConstruction Status\nNew LaunchUnder ConstructionReady to move\nPosted by\nOwnerBuilderDealerFeature Dealer\nArea\nsq.ft.\nNo min\nNo max\nLocalities\nSG Hi""",https://www.99acres.com,"Buy
Ahmedabad
|
Post property
FREE
Home › Property in Ahmedabad
Hide already seen
Verified properties
Verified   by 99acres verification team
Budget
No min
No max
Type of property
Residential Apartmen"
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,1.0,,,Apartment,Owner,,Type of property,,,99acres,"""Home \u203a Property in Ahmedabad\nHide already seen\nVerified properties\nVerified \u00a0 by 99acres verification team\nBudget\nNo min\nNo max\nType of property\nResidential ApartmentIndependent House/VillaResidential LandIndependent/Builder Floor1 RK/ Studio Apartment\n+ 1 more\nNo. of Bedrooms\n1 RK/1 BHK2 BHK3 BHK4 BHK5 BHK\n+ 5 more\nConstruction Status\nNew LaunchUnder ConstructionReady to move\nPosted by\nOwnerBuilderDealerFeature Dealer\nArea\nsq.ft.\nNo min\nNo max\nLocalities\nSG Highway\n4.3\n\u2605\nSG Highway\n4.2\n\u2605\nBopal\n""",https://www.99acres.com/,"Home › Property in Ahmedabad
Hide already seen
Verified properties
Verified   by 99acres verification team
Budget
No min
No max
Type of property
Residential ApartmentIndependent House/VillaResidential"
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,3.0,,,Apartment,Owner,,"Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA",,,99acres,"""21839 results | Property in Ahmedabad for Sale\nGet to know more about\nAhmedabad\nView Insights\nNEW LAUNCH\nOwnerVerifiedUnder constructionReady To MoveWith PhotosWith Videos\nSort By\n3 people already contacted yesterday\nSharanya Altura\n3 BHK Flat in Shilaj, Ahmedabad\n\u00b7\nRERA\n\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction\n\nMake Sharanya Altura your next home. Book your 3 BHK flat in Shilaj, Ahmedabad West. With a super built-up area of 1760.0 sq. ft., the flat """,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sharanya-altura-shilaj-ahmedabad-west-1760-sq-ft-npspid-E83089100,"21839 results | Property in Ahmedabad for Sale
Get to know more about
Ahmedabad
View Insights
NEW LAUNCH
OwnerVerifiedUnder constructionReady To MoveWith PhotosWith Videos
Sort By
3 people already con"
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,3.0,,,Apartment,Builder,,"Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA",,,99acres,"""3 people already contacted yesterday\nSharanya Altura\n3 BHK Flat in Shilaj, Ahmedabad\n\u00b7\nRERA\n\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction\n\nMake Sharanya Altura your next home. Book your 3 BHK flat in Shilaj, Ahmedabad West. With a super built-up area of 1760.0 sq. ft., the flat combines the finest design and amenities in Ahmedabad West to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 3 BHK flat for Rs. 87 Lac. I""",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sharanya-altura-shilaj-ahmedabad-west-1760-sq-ft-npspid-E83089100,"3 people already contacted yesterday
Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA
₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction

Make Sharanya Altura"
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,3.0,,,Apartment,,,"Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA",,,99acres,"""3 people already contacted yesterday\nSharanya Altura\n3 BHK Flat in Shilaj, Ahmedabad\n\u00b7\nRERA\n\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction\n\nMake Sharanya Altura your next home. Book your 3 BHK flat in Shilaj, Ahmedabad West. With a super built-up area of 1760.0 sq. ft., the flat combines the finest design and amenities in Ahmedabad West to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 3 BHK flat for Rs. 87 Lac. I""",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sharanya-altura-shilaj-ahmedabad-west-1760-sq-ft-npspid-E83089100,"3 people already contacted yesterday
Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA
₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction

Make Sharanya Altura"
"3 BHK Flat in Shilaj, Ahmedabad","₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction",1760.0,3.0,,,Apartment,,,"Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA",,,99acres,"""Sharanya Altura\n3 BHK Flat in Shilaj, Ahmedabad\n\u00b7\nRERA\n\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction\n\nMake Sharanya Altura your next home. Book your 3 BHK flat in Shilaj, Ahmedabad West. With a super built-up area of 1760.0 sq. ft., the flat combines the finest design and amenities in Ahmedabad West to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 3 BHK flat for Rs. 87 Lac. It is an under construction property w""",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sharanya-altura-shilaj-ahmedabad-west-1760-sq-ft-npspid-E83089100,"Sharanya Altura
3 BHK Flat in Shilaj, Ahmedabad
·
RERA
₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction

Make Sharanya Altura your next home. Book your 3 BHK flat"
,"₹87 Lac
₹4,943 /sqft",1760.0,3.0,,,,,,,,,99acres,"""\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction""",,"₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction"
"3 BHK Apartment in Shela, Ahmedabad",,2010.0,3.0,,,Apartment,Builder,,,,,99acres,"""New Launch \u00b7 Completion in Dec, 2028\n1/10\nDev The Galaxy\nNEW BOOKING\n3 BHK Apartment in Shela, Ahmedabad\n3 BHK Apartment\n\u20b91.06 Cr\nNearby :\nWyndham Ahmedabad Shela Hotel\nApplewoods Galleria Mall\n+3\n\nLooking for your dream home? Explore 3 BHK apartments in Shela, now available in Dev The Galaxy. Apartments in Dev The Galaxy have SUPER area ranging between 2,010 sqft. The housing society is RERA-registered with MAA16047/271025/311230 registration number. Prices of apartments in this project, vary b""",https://www.99acres.com/dev-the-galaxy-shela-ahmedabad-west-npxid-r455919,"New Launch · Completion in Dec, 2028
1/10
Dev The Galaxy
NEW BOOKING
3 BHK Apartment in Shela, Ahmedabad
3 BHK Apartment
₹1.06 Cr
Nearby :
Wyndham Ahmedabad Shela Hotel
Applewoods Galleria Mall
+3

Lo"
"3 BHK Apartment in Shela, Ahmedabad",,2010.0,3.0,,,Apartment,,,,,,99acres,"""New Launch \u00b7 Completion in Dec, 2028\n1/10\nDev The Galaxy\nNEW BOOKING\n3 BHK Apartment in Shela, Ahmedabad\n3 BHK Apartment\n\u20b91.06 Cr\nNearby :\nWyndham Ahmedabad Shela Hotel\nApplewoods Galleria Mall\n+3\n\nLooking for your dream home? Explore 3 BHK apartments in Shela, now available in Dev The Galaxy. Apartments in Dev The Galaxy have SUPER area ranging between 2,010 sqft. The housing society is RERA-registered with MAA16047/271025/311230 registration number. Prices of apartments in this project, vary b""",https://www.99acres.com/dev-the-galaxy-shela-ahmedabad-west-npxid-r455919,"New Launch · Completion in Dec, 2028
1/10
Dev The Galaxy
NEW BOOKING
3 BHK Apartment in Shela, Ahmedabad
3 BHK Apartment
₹1.06 Cr
Nearby :
Wyndham Ahmedabad Shela Hotel
Applewoods Galleria Mall
+3

Lo"
"3 BHK Apartment in Shela, Ahmedabad",,2010.0,3.0,,,Apartment,,,,,,99acres,"""Dev The Galaxy\nNEW BOOKING\n3 BHK Apartment in Shela, Ahmedabad\n3 BHK Apartment\n\u20b91.06 Cr\nNearby :\nWyndham Ahmedabad Shela Hotel\nApplewoods Galleria Mall\n+3\n\nLooking for your dream home? Explore 3 BHK apartments in Shela, now available in Dev The Galaxy. Apartments in Dev The Galaxy have SUPER area ranging between 2,010 sqft. The housing society is RERA-registered with MAA16047/271025/311230 registration number. Prices of apartments in this project, vary between Rs. 1.06 Cr""",https://www.99acres.com/dev-the-galaxy-shela-ahmedabad-west-npxid-r455919,"Dev The Galaxy
NEW BOOKING
3 BHK Apartment in Shela, Ahmedabad
3 BHK Apartment
₹1.06 Cr
Nearby :
Wyndham Ahmedabad Shela Hotel
Applewoods Galleria Mall
+3

Looking for your dream home? Explore 3 BHK a"
