Property_Title,Price,Area_SqFt,BHK,Bathrooms,Furnishing_Status,Property_Type,Seller_Type,Project_Name,Locality,Posted_Date,Floor_Number,Source_Website,Raw_JSON,URL,Description
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties\nAdvertise Now""",https://www.sulekha.com/real-estate-agents/ahmedabad,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties
Advertise Now"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties""",https://www.sulekha.com/real-estate-agents/ahmedabad,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties\nAdvertise Now""",https://www.sulekha.com/real-estate-agents/ahmedabad?page=2,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties
Advertise Now"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties""",https://www.sulekha.com/real-estate-agents/ahmedabad?page=2,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties\nAdvertise Now""",https://www.sulekha.com/real-estate-agents/ahmedabad?page=3,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties
Advertise Now"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties""",https://www.sulekha.com/real-estate-agents/ahmedabad?page=3,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties\nAdvertise Now""",https://www.sulekha.com/real-estate-agents/ahmedabad?page=4,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties
Advertise Now"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties""",https://www.sulekha.com/real-estate-agents/ahmedabad?page=4,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties\nAdvertise Now""",https://www.sulekha.com/real-estate-agents/ahmedabad?page=5,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties
Advertise Now"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties""",https://www.sulekha.com/real-estate-agents/ahmedabad?page=5,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties\nAdvertise Now""",https://www.sulekha.com/real-estate-agents/ahmedabad?page=6,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties
Advertise Now"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties""",https://www.sulekha.com/real-estate-agents/ahmedabad?page=6,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties\nAdvertise Now""",https://www.sulekha.com/real-estate-agents/ahmedabad?page=7,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties
Advertise Now"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties""",https://www.sulekha.com/real-estate-agents/ahmedabad?page=7,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties\nAdvertise Now""",https://www.sulekha.com/real-estate-agents/ahmedabad?page=8,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties
Advertise Now"
Attention!,,,,,,Apartment,Agent,,Property Owners,,,Sulekha,"""Attention!\nProperty Owners\nLooking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties""",https://www.sulekha.com/real-estate-agents/ahmedabad?page=8,"Attention!
Property Owners
Looking to Buy/Sell or Rent Your Property? Advertise on Sulekha Properties"
