Price_Lakhs,Area_SqFt,BHK,Property_Type,Furnishing_Status,Locality,Locality_Tier,Seller_Type,Under_Construction,Source_Website
45.0,1226.0,2.0,Apartment,Furnished,Vastral,Tier 2,Owner,False,MagicBricks
70.0,1500.0,5.0,Apartment,Semi-Furnished,Mahadev Nagar,Tier 3,Owner,False,MagicBricks
42.0,1134.0,2.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,False,MagicBricks
96.0,1050.0,3.0,Apartment,Furnished,Jagatpur,Tier 2,Owner,False,MagicBricks
76.0,1055.0,3.0,Apartment,Semi-Furnished,Chandkheda,Tier 2,Owner,True,MagicBricks
265.0,3800.0,4.0,Apartment,Furnished,Bopal,Tier 1,Dealer,False,MagicBricks
130.0,2340.0,4.0,Apartment,Unfurnished,Sughad,Tier 3,Unknown,False,99acres
32.0,990.0,2.0,Apartment,Semi-Furnished,Sanand,Tier 2,Owner,False,MagicBricks
58.9,695.0,2.0,Apartment,Furnished,Ghuma,Tier 2,Owner,False,MagicBricks
75.0,1701.0,3.0,Apartment,Furnished,Ghuma,Tier 2,Owner,False,MagicBricks
100.0,2205.0,3.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
155.0,2160.0,3.0,Apartment,Semi-Furnished,Bhadaj,Tier 3,Owner,False,MagicBricks
55.0,927.0,2.0,Apartment,Semi-Furnished,Shela,Tier 2,Owner,False,MagicBricks
245.00000000000003,3075.0,4.0,Apartment,Semi-Furnished,Bopal,Tier 1,Owner,False,MagicBricks
166.0,2385.0,3.0,Apartment,Furnished,Ambawadi,Tier 1,Builder,True,MagicBricks
67.0,1680.0,3.0,Apartment,Semi-Furnished,Nikol,Tier 2,Owner,False,MagicBricks
68.0,1050.0,3.0,Apartment,Furnished,Vastral,Tier 2,Owner,False,MagicBricks
37.0,450.0,1.0,Apartment,Furnished,Vejalpur,Tier 2,Owner,False,MagicBricks
202.0,2095.0,4.0,Apartment,Furnished,Sarkhej,Tier 3,Owner,True,MagicBricks
52.5,642.0,2.0,Apartment,Semi-Furnished,Jodhpur,Tier 2,Owner,False,MagicBricks
55.0,1470.0,2.0,Apartment,Furnished,Nikol,Tier 2,Owner,False,MagicBricks
55.0,1422.0,3.0,Apartment,Furnished,Lambha,Tier 3,Owner,False,MagicBricks
62.0,1285.0,2.0,Apartment,Semi-Furnished,Shela,Tier 2,Owner,False,MagicBricks
100.0,1575.0,3.0,Apartment,Semi-Furnished,Kankaria,Tier 2,Owner,False,MagicBricks
46.6,700.0,2.0,Apartment,Furnished,Ranip,Tier 2,Owner,False,MagicBricks
135.0,2475.0,3.0,Apartment,Furnished,Science City,Tier 2,Owner,False,MagicBricks
25.0,730.0,2.0,Apartment,Semi-Furnished,Narol,Tier 2,Owner,False,MagicBricks
101.0,1178.0,3.0,Apartment,Furnished,Jagatpur,Tier 2,Owner,True,MagicBricks
45.0,394.0,2.0,Apartment,Semi-Furnished,Gota,Tier 2,Owner,False,MagicBricks
62.0,680.0,2.0,Apartment,Furnished,Vasna,Tier 2,Owner,False,MagicBricks
125.0,1300.0,3.0,Apartment,Furnished,Shyamal,Tier 2,Owner,False,MagicBricks
89.0,1550.0,3.0,Apartment,Furnished,Shilaj,Tier 2,Owner,False,MagicBricks
250.0,2677.0,4.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,False,MagicBricks
260.0,2200.0,4.0,Apartment,Furnished,Shilaj,Tier 2,Owner,True,MagicBricks
120.0,774.0,2.0,Apartment,Furnished,Ambawadi,Tier 1,Owner,False,MagicBricks
39.0,864.0,2.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
60.0,650.0,2.0,Apartment,Unfurnished,Tragad,Tier 2,Unknown,False,99acres
55.0,1296.0,2.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
85.0,900.0,3.0,Apartment,Furnished,Vasna,Tier 2,Owner,False,MagicBricks
288.0,3850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,MagicBricks
195.0,1334.0,3.0,Apartment,Semi-Furnished,Navrangpura,Tier 1,Owner,False,MagicBricks
62.0,864.0,3.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,MagicBricks
31.5,371.0,1.0,Apartment,Furnished,Vejalpur,Tier 2,Owner,False,MagicBricks
99.0,1106.0,2.0,Apartment,Furnished,Memnagar,Tier 2,Owner,False,MagicBricks
201.0,3447.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,False,MagicBricks
184.0,2838.0,3.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,MagicBricks
27.0,1000.0,2.0,Apartment,Furnished,Narol,Tier 2,Owner,False,MagicBricks
32.0,1035.0,2.0,Apartment,Furnished,Ayojan Nagar,Tier 3,Owner,False,MagicBricks
41.0,1080.0,2.0,Apartment,Unfurnished,Vastral,Tier 2,Unknown,False,99acres
260.0,1560.0,4.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
171.0,3042.0,3.0,Apartment,Furnished,Vaishno Devi,Tier 2,Unknown,True,MagicBricks
78.0,1465.0,3.0,Apartment,Semi-Furnished,Bopal,Tier 1,Owner,False,MagicBricks
32.0,666.0,2.0,Apartment,Semi-Furnished,Vejalpur,Tier 2,Owner,False,MagicBricks
84.0,1004.0,3.0,Apartment,Semi-Furnished,Bopal,Tier 1,Owner,False,MagicBricks
108.0,1377.0,2.0,Apartment,Unfurnished,Shahibaug,Tier 2,Unknown,False,99acres
255.0,2342.0,4.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,True,MagicBricks
105.0,200.0,3.0,Apartment,Furnished,Juhapura,Tier 2,Owner,False,MagicBricks
50.0,1000.0,2.0,Apartment,Furnished,Sanand,Tier 2,Owner,False,MagicBricks
65.0,800.0,4.0,Apartment,Furnished,Ghodasar,Tier 2,Owner,False,MagicBricks
44.0,894.0,2.0,Apartment,Furnished,Vastral,Tier 2,Owner,False,MagicBricks
28.0,405.0,2.0,Apartment,Furnished,Isanpur,Tier 2,Owner,False,MagicBricks
65.0,675.0,2.0,Apartment,Furnished,Vasna,Tier 2,Owner,False,MagicBricks
49.9,1188.0,3.0,Apartment,Furnished,Naroda,Tier 3,Owner,False,MagicBricks
35.0,450.0,2.0,Apartment,Furnished,Gota,Tier 2,Owner,False,MagicBricks
