Price_Lakhs,Price_Category,Area_SqFt,BHK,Property_Type,Furnishing_Status,Locality,Locality_Tier,Seller_Type,Under_Construction,Amenities_Count,Area_Per_BHK,Is_Large_Apartment,Is_Premium_Locality,Is_Budget_Locality,BHK_Area_Combo,High_Amenity,Construction_Category,Locality_Property_Count,Locality_Median_Area,Locality_Common_BHK,Locality_Median_Price,Source_Website
368.0,360-380L,2250.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,True,2,562.5,1,1,0,4.0_Large,0,Under_Construction,33,2160.0,4.0,175.0,MagicBricks
366.0,360-380L,3415.0,5.0,Apartment,Furnished,Sarkhej,Tier 3,Dealer,True,0,683.0,1,0,1,5.0_XLarge,0,Under_Construction,76,872.5,2.0,52.75,MagicBricks
365.0,360-380L,3150.0,4.0,Apartment,Furnished,Bhat,Tier 3,Owner,False,2,787.5,1,0,1,4.0_XLarge,0,Ready_To_Move,11,1485.0,3.0,87.0,MagicBricks
365.0,360-380L,336.0,4.0,Apartment,Furnished,Sanand,Tier 2,Owner,False,0,84.0,1,0,0,4.0_Small,0,Ready_To_Move,35,1000.0,2.0,48.0,MagicBricks
365.0,360-380L,3285.0,5.0,Apartment,Furnished,Kankaria,Tier 2,Owner,False,1,657.0,1,0,0,5.0_XLarge,0,Ready_To_Move,2,2250.0,3.0,222.5,MagicBricks
360.0,340-360L,3650.0,4.0,Apartment,Furnished,Sarkhej,Tier 3,Owner,False,0,912.5,1,0,1,4.0_XLarge,0,Ready_To_Move,76,872.5,2.0,52.75,MagicBricks
360.0,340-360L,2300.0,4.0,Apartment,Furnished,Ambawadi,Tier 1,Owner,False,0,575.0,1,1,0,4.0_Large,0,Ready_To_Move,22,2250.0,3.0,166.5,MagicBricks
359.0,340-360L,3168.0,4.0,Apartment,Furnished,Science City,Tier 2,Owner,True,3,792.0,1,0,0,4.0_XLarge,1,Under_Construction,31,1890.0,3.0,181.0,MagicBricks
359.0,340-360L,3168.0,4.0,Apartment,Furnished,Science City,Tier 2,Owner,True,3,792.0,1,0,0,4.0_XLarge,1,Under_Construction,31,1890.0,3.0,181.0,MagicBricks
359.0,340-360L,3168.0,4.0,Apartment,Furnished,Science City,Tier 2,Owner,True,3,792.0,1,0,0,4.0_XLarge,1,Under_Construction,31,1890.0,3.0,181.0,MagicBricks
354.0,340-360L,4077.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,True,2,1019.25,1,1,0,4.0_XLarge,0,Under_Construction,33,2160.0,4.0,175.0,MagicBricks
354.0,340-360L,4077.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,True,2,1019.25,1,1,0,4.0_XLarge,0,Under_Construction,33,2160.0,4.0,175.0,MagicBricks
351.0,340-360L,2907.0,3.0,Independent House,Unfurnished,Bhadaj,Tier 3,Dealer,False,1,969.0,0,0,1,3.0_Large,0,Ready_To_Move,23,2178.0,3.0,155.0,99acres
351.0,340-360L,3700.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,2,925.0,1,0,1,4.0_XLarge,0,Under_Construction,49,2166.0,4.0,210.0,MagicBricks
351.0,340-360L,2907.0,3.0,Independent House,Unfurnished,Bhadaj,Tier 3,Unknown,False,1,969.0,0,0,1,3.0_Large,0,Ready_To_Move,23,2178.0,3.0,155.0,99acres
351.0,340-360L,2907.0,3.0,Independent House,Unfurnished,Bhadaj,Tier 3,Unknown,False,1,969.0,0,0,1,3.0_Large,0,Ready_To_Move,23,2178.0,3.0,155.0,99acres
351.0,340-360L,3514.0,5.0,Apartment,Furnished,Bopal,Tier 1,Dealer,True,2,702.8,1,1,0,5.0_XLarge,0,Under_Construction,240,1435.0,3.0,80.0,MagicBricks
350.0,340-360L,3600.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,0,900.0,1,1,0,4.0_XLarge,0,Ready_To_Move,240,1435.0,3.0,80.0,MagicBricks
350.0,340-360L,3800.0,4.0,Apartment,Furnished,Prahlad Nagar,Tier 1,Owner,False,2,950.0,1,1,0,4.0_XLarge,0,Ready_To_Move,36,1705.0,3.0,135.0,MagicBricks
350.0,340-360L,3800.0,4.0,Apartment,Furnished,Prahlad Nagar,Tier 1,Owner,False,2,950.0,1,1,0,4.0_XLarge,0,Ready_To_Move,36,1705.0,3.0,135.0,MagicBricks
350.0,340-360L,3300.0,5.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,4,660.0,1,1,0,5.0_XLarge,1,Ready_To_Move,240,1435.0,3.0,80.0,MagicBricks
350.0,340-360L,3400.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,False,2,850.0,1,1,0,4.0_XLarge,0,Ready_To_Move,59,1899.0,3.0,150.0,MagicBricks
350.0,340-360L,3400.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,False,2,850.0,1,1,0,4.0_XLarge,0,Ready_To_Move,59,1899.0,3.0,150.0,MagicBricks
350.0,340-360L,3500.0,5.0,Apartment,Furnished,Thaltej,Tier 1,Owner,False,2,700.0,1,1,0,5.0_XLarge,0,Ready_To_Move,59,1899.0,3.0,150.0,MagicBricks
350.0,340-360L,3300.0,5.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,4,660.0,1,1,0,5.0_XLarge,1,Ready_To_Move,240,1435.0,3.0,80.0,MagicBricks
350.0,340-360L,1800.0,4.0,Apartment,Furnished,Saijpur Bogha,Tier 3,Owner,False,0,450.0,1,0,1,4.0_Large,0,Ready_To_Move,14,870.0,3.0,36.5,MagicBricks
344.0,340-360L,2107.0,4.0,Apartment,Furnished,Satellite,Tier 1,Owner,True,3,526.75,1,1,0,4.0_Large,1,Under_Construction,67,1350.0,3.0,131.0,MagicBricks
344.0,340-360L,2107.0,4.0,Apartment,Furnished,Satellite,Tier 1,Owner,True,3,526.75,1,1,0,4.0_Large,1,Under_Construction,67,1350.0,3.0,131.0,MagicBricks
336.0,320-340L,2166.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,2,541.5,1,0,1,4.0_Large,0,Under_Construction,49,2166.0,4.0,210.0,MagicBricks
335.0,320-340L,207.0,4.0,Apartment,Semi-Furnished,Vaishno Devi,Tier 2,Owner,False,0,51.75,1,0,0,4.0_Small,0,Ready_To_Move,115,1325.0,2.0,79.0,MagicBricks
330.0,320-340L,1575.0,4.0,Apartment,Furnished,Motera,Tier 2,Owner,False,3,393.75,1,0,0,4.0_Large,1,Ready_To_Move,34,1637.5,3.0,90.0,MagicBricks
325.0,320-340L,3420.0,4.0,Apartment,Semi-Furnished,Prahlad Nagar,Tier 1,Owner,False,2,855.0,1,1,0,4.0_XLarge,0,Ready_To_Move,36,1705.0,3.0,135.0,MagicBricks
325.0,320-340L,3420.0,4.0,Apartment,Semi-Furnished,Prahlad Nagar,Tier 1,Owner,False,2,855.0,1,1,0,4.0_XLarge,0,Ready_To_Move,36,1705.0,3.0,135.0,MagicBricks
325.0,320-340L,2500.0,4.0,Apartment,Furnished,Jodhpur,Tier 2,Owner,False,2,625.0,1,0,0,4.0_Large,0,Ready_To_Move,15,1320.0,3.0,185.0,MagicBricks
